Series_reference,Period,Data_value
BDCQ.SEA1BS,2021.03,5394
BDCQ.SEA1BS,2021.06,5359
BDCQ.SEA1BT,2011.06,
BDCQ.SEA1BT,2011.09,
BDCQ.SEA1BT,2011.12,
BDCQ.SEA1BT,2012.03,
BDCQ.SEA1BT,2012.06,
BDCQ.SEA1BT,2012.09,
BDCQ.SEA1BT,2012.12,
BDCQ.SEA1BT,2013.03,
BDCQ.SEA1BT,2013.06,
BDCQ.SEA1BT,2013.09,
BDCQ.SEA1BT,2013.12,
BDCQ.SEA1BT,2014.03,
BDCQ.SEA1BT,2014.06,
BDCQ.SEA1BT,2014.09,
BDCQ.SEA1BT,2014.12,
BDCQ.SEA1BT,2015.03,
BDCQ.SEA1BT,2015.06,
BDCQ.SEA1BT,2015.09,
BDCQ.SEA1BT,2015.12,
BDCQ.SEA1BT,2016.03,
BDCQ.SEA1BT,2016.06,
BDCQ.SEA1BT,2016.09,
BDCQ.SEA1BT,2016.12,
BDCQ.SEA1BT,2017.03,
BDCQ.SEA1BT,2017.06,
BDCQ.SEA1BT,2017.09,
BDCQ.SEA1BT,2017.12,
BDCQ.SEA1BT,2018.03,
BDCQ.SEA1BT,2018.06,
BDCQ.SEA1BT,2018.09,
BDCQ.SEA1BT,2018.12,
BDCQ.SEA1BT,2019.03,
BDCQ.SEA1BT,2019.06,
BDCQ.SEA1BT,2019.09,
BDCQ.SEA1BT,2019.12,
BDCQ.SEA1BT,2020.03,
BDCQ.SEA1BT,2020.06,
BDCQ.SEA1BT,2020.09,
BDCQ.SEA1BT,2020.12,
BDCQ.SEA1BT,2021.03,
BDCQ.SEA1BT,2021.06,
BDCQ.SEA1CA,2011.06,206633
BDCQ.SEA1CA,2011.09,200677
BDCQ.SEA1CA,2011.12,204217
BDCQ.SEA1CA,2012.03,208617
BDCQ.SEA1CA,2012.06,206645
BDCQ.SEA1CA,2012.09,199425
BDCQ.SEA1CA,2012.12,203691
BDCQ.SEA1CA,2013.03,208709
BDCQ.SEA1CA,2013.06,205207
BDCQ.SEA1CA,2013.09,201457
BDCQ.SEA1CA,2013.12,207492
BDCQ.SEA1CA,2014.03,211991
BDCQ.SEA1CA,2014.06,210124
BDCQ.SEA1CA,2014.09,205440
BDCQ.SEA1CA,2014.12,207594
BDCQ.SEA1CA,2015.03,214158
BDCQ.SEA1CA,2015.06,212246
BDCQ.SEA1CA,2015.09,207462
BDCQ.SEA1CA,2015.12,211402
BDCQ.SEA1CA,2016.03,216597
BDCQ.SEA1CA,2016.06,214710
BDCQ.SEA1CA,2016.09,209854
BDCQ.SEA1CA,2016.12,215317
BDCQ.SEA1CA,2017.03,219090
BDCQ.SEA1CA,2017.06,219130
BDCQ.SEA1CA,2017.09,213648
BDCQ.SEA1CA,2017.12,220066
BDCQ.SEA1CA,2018.03,225445
BDCQ.SEA1CA,2018.06,224308
BDCQ.SEA1CA,2018.09,218059
BDCQ.SEA1CA,2018.12,223667
BDCQ.SEA1CA,2019.03,227931
BDCQ.SEA1CA,2019.06,225492
BDCQ.SEA1CA,2019.09,220047
BDCQ.SEA1CA,2019.12,227095
BDCQ.SEA1CA,2020.03,228672
BDCQ.SEA1CA,2020.06,224825
BDCQ.SEA1CA,2020.09,216898
BDCQ.SEA1CA,2020.12,220396
BDCQ.SEA1CA,2021.03,221556
BDCQ.SEA1CA,2021.06,221148
BDCQ.SEA1CS,2011.06,205546
BDCQ.SEA1CS,2011.09,205226
BDCQ.SEA1CS,2011.12,204628
BDCQ.SEA1CS,2012.03,204756
BDCQ.SEA1CS,2012.06,205574
BDCQ.SEA1CS,2012.09,203884
BDCQ.SEA1CS,2012.12,204141
BDCQ.SEA1CS,2013.03,204864
BDCQ.SEA1CS,2013.06,204151
BDCQ.SEA1CS,2013.09,205896
BDCQ.SEA1CS,2013.12,207953
BDCQ.SEA1CS,2014.03,208158
BDCQ.SEA1CS,2014.06,209034
BDCQ.SEA1CS,2014.09,209915
BDCQ.SEA1CS,2014.12,208007
BDCQ.SEA1CS,2015.03,210421
BDCQ.SEA1CS,2015.06,211081
BDCQ.SEA1CS,2015.09,211978
BDCQ.SEA1CS,2015.12,211748
BDCQ.SEA1CS,2016.03,212937
BDCQ.SEA1CS,2016.06,213480
BDCQ.SEA1CS,2016.09,214486
BDCQ.SEA1CS,2016.12,215499
BDCQ.SEA1CS,2017.03,215538
BDCQ.SEA1CS,2017.06,217818
BDCQ.SEA1CS,2017.09,218487
BDCQ.SEA1CS,2017.12,219993
BDCQ.SEA1CS,2018.03,221978
BDCQ.SEA1CS,2018.06,222933
BDCQ.SEA1CS,2018.09,223122
